name,season,mpg,gp,pts_per_40,ast_per_40,oreb_per_40,dreb_per_40,stl_per_40,blks_per_40,tov_per_40
Marvin Bagley III,2018,33.8,33,821.301775147929,59.1715976331361,156.2130177514793,276.9230769230769,31.952662721893496,34.319526627218934,88.75739644970415
Ja Morant,2019,36.6,31,829.5081967213115,336.6120218579235,41.53005464480874,151.91256830601094,59.01639344262294,27.3224043715847,174.86338797814204
James Wiseman,2020,23.0,3,102.6086956521739,1.7391304347826086,22.60869565217391,33.04347826086956,1.7391304347826086,15.652173913043478,5.217391304347826
Chet Holmgren,2022,26.9,32,672.1189591078066,90.70631970260223,84.75836431226766,386.6171003717472,38.66171003717472,165.0557620817844,90.70631970260223
Brandon Miller,2023,32.6,37,853.9877300613496,93.25153374233128,93.25153374233128,280.9815950920245,40.49079754601227,39.263803680981596,99.38650306748465
Dylan Harper,2025,32.6,29,692.0245398773005,143.55828220858893,26.993865030674847,136.1963190184049,51.53374233128834,20.858895705521473,85.88957055214723
Derrick Favors,2010,27.8,35,633.0935251798561,47.482014388489205,153.9568345323741,280.57553956834533,44.60431654676259,103.59712230215827,123.7410071942446
Otto Porter,2013,35.4,31,566.1016949152543,94.91525423728814,62.14689265536723,200.0,64.40677966101696,31.63841807909605,53.10734463276837
Bradley Beal,2012,34.2,37,638.5964912280701,97.07602339181285,58.47953216374268,232.74853801169587,59.64912280701754,36.25730994152046,92.39766081871345
Joel Embiid,2014,23.1,28,541.9913419913419,65.8008658008658,112.55411255411255,280.5194805194805,43.290043290043286,124.67532467532466,114.28571428571428
Jahlil Okafor,2015,30.1,38,873.0897009966777,65.11627906976744,178.07308970099666,249.83388704318938,38.538205980066444,71.76079734219269,126.24584717607974
Jaylen Brown,2016,27.6,34,721.7391304347825,97.10144927536231,52.173913043478265,211.5942028985507,39.13043478260869,31.884057971014492,152.17391304347825
Jayson Tatum,2017,33.3,29,586.1861861861862,74.47447447447448,46.846846846846844,209.00900900900905,46.846846846846844,39.63963963963964,91.29129129129129
R.J. Barrett,2019,35.3,38,974.5042492917848,185.83569405099152,66.85552407932012,259.4900849858357,38.52691218130312,18.130311614730882,139.37677053824365
Evan Mobley,2021,33.9,33,637.1681415929204,93.21533923303835,106.19469026548673,231.26843657817108,30.678466076696168,110.91445427728614,87.31563421828909
Jabari Smith,2022,28.8,34,800.0,93.05555555555556,44.44444444444444,304.16666666666663,51.388888888888886,48.61111111111111,88.88888888888889
Reed Sheppard,2024,28.9,33,568.8581314878893,203.46020761245677,16.60899653979239,171.62629757785467,113.49480968858131,31.83391003460208,91.34948096885813
V.J. Edgecombe,2025,32.7,32,587.1559633027523,125.99388379204893,79.51070336391437,139.44954128440367,80.73394495412843,23.24159021406728,75.84097859327217
Wes Johnson,2010,35.0,35,659.4285714285713,89.14285714285714,85.71428571428571,256.0,66.28571428571429,73.14285714285714,92.57142857142858
Dion Waiters,2012,24.1,37,775.1037344398339,152.69709543568464,29.87551867219917,111.20331950207469,111.20331950207469,19.917012448132777,79.66804979253111
Tristan Thompson,2011,30.9,36,609.7087378640778,58.25242718446602,178.64077669902912,186.4077669902913,44.01294498381877,111.32686084142395,82.84789644012946
Cody Zeller,2013,29.5,36,805.4237288135594,63.728813559322035,138.3050847457627,254.91525423728814,50.16949152542373,61.01694915254237,109.83050847457626
Aaron Gordon,2014,31.2,38,602.5641025641025,96.15384615384615,130.76923076923077,257.6923076923077,43.58974358974359,50.0,70.51282051282051
Josh Jackson,2017,30.8,35,742.8571428571428,135.06493506493507,105.19480519480518,229.87012987012986,76.62337662337661,48.05194805194805,125.97402597402598
De'Andre Hunter,2019,32.5,38,712.6153846153846,92.30769230769229,64.0,173.53846153846152,27.07692307692308,27.07692307692308,64.0
Jaren Jackson Jr.,2018,21.9,35,697.7168949771691,71.23287671232876,94.97716894977171,275.7990867579909,38.35616438356165,191.78082191780823,113.2420091324201
Patrick Williams,2020,22.4,29,478.5714285714286,51.78571428571429,66.07142857142858,139.28571428571428,51.78571428571429,53.57142857142858,89.28571428571429
Scottie Barnes,2021,24.8,24,400.0,158.06451612903226,56.4516129032258,98.38709677419354,56.4516129032258,17.741935483870968,95.16129032258064
