name,pick,season,ftm,fta,3fgm,3fga,rim_made,rim_miss,mid_made,mid_miss,dunks_made,dunks_miss,oreb,dreb,ast,stl,blks,pts,gp,height,rec_rank,mpg,age,tov,sos,team_strength,international,NBA_impact,standard_error,NBA_minutes,NBA_seasons,NCAA_possessions_est,fga_est,ts_pct,ast_to_tov,ft_pct,three_pt_pct,rim_pct,dunk_rate,position
Max Shulga,57.0,2025,140,179,72,186,49,38,27,45,3,0,59,140,135,60,4,511,34,77,0.0,32.8,22.6,57,1.2,12.6,1,-1.1,3.2,37.0,1.0,1884,345,0.6029356239380782,2.3684210526315788,0.7821229050279329,0.3870967741935484,0.5632183908045977,0.034482758620689655,SG
Derrick Caracter,58.0,2010,80,119,4,15,74,38,59,64,11,0,72,146,30,26,23,380,27,81,95.4,26.7,22.3,77,3.8,11.2,0,-2.2,2.9,219.0,1.0,1249,250,0.6283899986770737,0.38961038961038963,0.6722689075630253,0.26666666666666666,0.6607142857142857,0.09821428571428571,PF
Robbie Hummel,58.0,2012,113,137,72,188,17,10,105,145,0,0,55,196,66,23,42,573,35,80,88.4,32.2,22.9,32,6.8,10.8,0,-1.8,2.3,1376.0,2.0,1817,465,0.5454233932378922,2.0625,0.8248175182481752,0.3829787234042553,0.6296296296296297,0.0,SF
Jordan McRae,58.0,2014,164,208,77,220,73,34,50,105,16,4,26,101,89,25,37,673,36,78,92.0,32.4,22.8,76,6.0,13.4,0,-2.4,2.1,1711.0,4.0,1828,482,0.5867275770679314,1.1710526315789473,0.7884615384615384,0.35,0.6822429906542056,0.14953271028037382,SG
Abdel Nader,58.0,2016,78,106,52,140,50,33,33,54,26,1,26,148,54,37,24,452,35,78,51.6,31.1,22.3,79,7.4,11.5,0,-5.2,1.8,2666.0,5.0,1940,310,0.6336922386720503,0.6835443037974683,0.7358490566037735,0.37142857142857144,0.6024096385542169,0.3132530120481928,SF
Thomas Welsh,58.0,2018,48,58,45,112,30,21,77,84,10,0,87,271,46,22,29,417,33,84,92.6,33.2,22.0,34,4.4,7.1,0,-0.6,3.1,33.0,1.0,1951,324,0.5965323872739757,1.3529411764705883,0.8275862068965517,0.4017857142857143,0.5882352941176471,0.19607843137254902,PF
Miye Oni,58.0,2019,103,130,55,150,55,53,30,58,22,2,18,157,99,25,36,480,28,78,0.0,30.9,21.5,72,0.7,5.6,0,-1.0,2.6,724.0,3.0,1587,346,0.5952380952380952,1.375,0.7923076923076923,0.36666666666666664,0.5092592592592593,0.2037037037037037,SG
Paul Reed,58.0,2020,59,78,15,51,82,56,51,75,32,2,92,208,45,52,71,424,28,81,46.0,31.7,20.6,63,4.7,3.2,0,2.0,1.6,4499.0,6.0,1616,315,0.6068933928775908,0.7142857142857143,0.7564102564102564,0.29411764705882354,0.5942028985507246,0.2318840579710145,PF
Jericho Sims,58.0,2021,52,100,0,1,27,19,8,20,59,3,56,132,17,19,28,240,26,82,89.6,24.5,22.3,42,6.3,10.0,0,-3.5,1.7,3924.0,5.0,1096,75,1.0,0.40476190476190477,0.52,0.0,0.5869565217391305,1.2826086956521738,C
Chris Livingston,58.0,2023,39,54,18,59,36,26,14,38,11,0,38,104,24,15,12,215,34,78,97.8,22.4,19.3,31,6.2,10.1,0,-0.7,2.9,237.0,3.0,1267,173,0.5463508843260826,0.7741935483870968,0.7222222222222222,0.3050847457627119,0.5806451612903226,0.1774193548387097,SF
