name,pick,season,ftm,fta,3fgm,3fga,rim_made,rim_miss,mid_made,mid_miss,dunks_made,dunks_miss,oreb,dreb,ast,stl,blks,pts,gp,height,rec_rank,mpg,age,tov,sos,team_strength,international,NBA_impact,standard_error,NBA_minutes,NBA_seasons,NCAA_possessions_est
Yaxel Lendeborg,,2026,136,165,67,180,84,41,20,33,29,1,75,196,129,45,49,603,40,81,,30.1,23.3,42,10,22.6,0,,,,,2133
Pryce Sandfort,,2026,71,83,129,310,65,24,20,30,3,1,22,148,70,36,9,634,35,79,83,33.6,21.6,24,6.8,14.7,0,,,,,1954
Motiejus Krivas,,2026,131,168,4,13,48,43,57,49,27,2,120,198,43,28,73,407,39,86,73.2,25.4,21.2,53,9.1,21.2,1,,,,,1755
Thomas Haugh,,2026,154,199,58,178,71,65,13,27,42,4,73,136,73,36,33,580,34,81,61.6,33.3,22.5,51,8.8,19,0,,,,,2038
Alex Condon,,2026,126,194,9,53,86,65,46,38,48,4,78,176,123,23,48,513,34,83,,30.5,21.5,83,8.4,19,1,,,,,1863
Patrick Ngongba,,2026,87,131,8,31,57,37,7,11,42,3,70,116,64,19,34,323,32,83,94.8,21.9,19.9,42,7.8,22.6,0,,,,,1178
Isaiah Evans,,2026,98,114,101,280,40,26,23,37,22,2,15,107,48,27,25,571,38,78,97.2,28.2,20.1,43,8.2,22.6,0,,,,,1785
Labaron Philon,,2026,158,198,81,203,108,59,49,61,5,0,19,98,165,38,6,725,33,76,93.2,30.9,20.2,84,9.9,14.4,0,,,,,1887
"Paul McNeil, Jr.",,2026,89,108,105,246,21,15,8,25,4,0,27,94,28,21,13,470,34,77,89,28.6,19.7,14,6.6,10.7,0,,,,,1686
Juke Harris,,2026,195,249,87,262,80,56,54,59,13,3,44,185,68,44,7,750,35,79,83.6,35.1,20.3,58,6.8,6.1,0,,,,,2127
Jayden Quaintance,,2026,4,13,0,0,5,3,1,2,2,1,8,12,2,2,3,20,4,83,98.6,16.8,18.5,6,10.4,11.9,0,,,,,116
Morez Johnson Jr.,,2026,122,156,12,35,114,58,19,34,50,3,100,193,48,27,44,524,40,81,94.2,25.1,20,53,10,22.6,0,,,,,1787
Christian Anderson,,2026,95,118,108,260,47,19,41,55,8,2,20,98,244,48,8,611,33,75,76.6,38.4,19.8,109,8.8,13.3,0,,,,,2147
Tyler Tanner,,2026,186,218,60,163,108,68,43,70,17,1,15,116,184,86,12,702,36,72,,33.5,20,68,7.8,14.7,0,,,,,2109
Bennett Stirtz,,2026,140,165,92,257,87,40,61,69,11,1,10,88,163,51,9,734,37,76,,37.7,22.3,68,6.8,12.8,0,,,,,2186
Flory Bidunga,,2026,70,107,0,2,80,49,35,55,82,5,106,208,52,26,91,464,35,81,97.4,31.6,20.7,54,9.7,13.3,1,,,,,1884
Allen Graves,,2026,84,112,37,91,55,42,29,36,21,2,95,126,61,65,32,400,34,81,,22.6,20.3,24,4.1,10.6,0,,,,,1341
Koa Peat,,2026,101,162,7,20,87,59,53,105,53,2,77,126,93,23,25,508,36,80,98.6,27.8,19,58,8,21.2,0,,,,,1801
Brayden Burries,,2026,136,169,70,179,74,48,49,60,17,1,21,170,95,59,8,626,39,76,98.2,29.8,20.4,57,8.3,21.2,0,,,,,2073
Caleb Wilson,,2026,129,181,7,27,48,34,48,60,67,10,68,158,64,36,33,476,24,82,99.2,31.3,19.5,47,5.7,12,0,,,,,1299
Chris Cenac Jr,,2026,36,58,30,90,20,15,58,76,35,1,83,208,27,28,18,352,37,83,99,24.8,19,33,7.9,19.5,0,,,,,1486
Kingston Flemings,,2026,109,129,41,106,84,69,86,108,11,2,19,131,192,56,12,594,37,76,96.8,31.7,19.1,66,7.8,19.5,0,,,,,1898
Dame Sarr,,2026,33,62,43,133,20,26,4,6,17,2,30,115,42,37,14,244,38,80,94.2,23.5,19.7,40,8.2,22.6,1,,,,,1482
Meleek Thomas,,2026,91,108,82,197,66,46,52,101,3,2,33,109,92,57,7,579,37,77,98,30.5,19.5,37,8.1,13.7,0,,,,,2051
Darryn Peterson,,2026,109,132,63,165,31,24,53,71,9,3,17,84,38,34,15,484,24,77,99.8,29,19.1,38,9.8,13.3,0,,,,,1196
Amari Allen,,2026,76,103,47,138,58,43,6,13,10,3,53,169,100,33,22,365,32,79,85.2,28.2,20,44,8.8,14.4,0,,,,,1674
AJ Dybantsa,,2026,229,296,49,148,90,46,126,146,43,5,51,188,130,37,12,894,35,81,100,34.8,19,108,7.9,13,0,,,,,2136
Ebuka Okorie,,2026,188,226,63,178,127,105,36,49,8,0,23,90,111,49,10,719,31,74,57.6,35.1,19.3,58,5.5,5.7,0,,,,,1841
Keaton Wagler,,2026,172,216,87,219,84,61,31,58,0,1,71,117,157,34,14,663,37,78,52.6,33.9,19.3,66,8.2,18.8,0,,,,,2051
Nate Ament,,2026,196,248,46,138,46,53,66,111,13,2,61,161,82,34,22,584,35,82,99.4,29.7,19.1,79,8.5,14.7,0,,,,,1747
Mikel Brown Jr.,,2026,103,122,55,160,37,23,10,31,10,2,1,69,99,26,3,382,21,77,98.8,29.2,19.8,65,5.7,14.7,0,,,,,1111
Neoklis Avdalas,,2026,68,101,49,156,42,24,31,73,7,1,3,93,142,18,17,375,31,81,97.2,31.7,19.9,69,5.8,7.3,1,,,,,1673
Cameron Boozer,,2026,221,280,54,138,173,116,22,30,41,2,128,261,157,53,23,855,38,81,99.6,33.5,18.5,96,8.3,22.6,0,,,,,2115
Tounde Yessoufou,,2026,96,130,53,179,55,32,87,97,19,2,80,114,52,65,20,587,33,77,97.4,32.6,19.7,62,7.4,8.2,1,,,,,1862
Alijah Arenas,,2026,61,77,13,61,21,26,27,44,1,2,14,26,29,13,7,198,14,78,97.8,27.7,19.3,32,8.4,4.2,0,,,,,679
Hannes Steinbach,,2026,120,158,18,53,115,59,47,58,29,1,126,227,47,32,37,556,30,83,99,34.7,19.7,59,6.2,7.8,1,,,,,1752
Braylon Mullins,,2026,32,36,72,215,24,19,46,36,4,3,29,87,47,33,21,396,33,78,97.2,28.2,19.3,40,8.2,16.8,0,,,,,1517
Darius Acuff Jr.,,2026,178,220,91,207,119,82,71,106,7,3,17,94,232,30,11,845,36,75,98.4,35.1,19.3,78,8.7,13.7,0,,,,,2303
